xtime[s] xdist[m] speed[km/h] nmot[rpm] gear[n] accx[g] accy[g] accz[g] steer[deg] yaw[deg/s]     dam_fl[mm] dam_fr[mm] dam_rl[mm] dam_rr[mm]     Jounce_FL[mm] Jounce_FR[mm] Jounce_RL[mm] Jounce_RR[mm]     Ride_AxleFront[mm] Ride_AxleRear[mm]     SideSlipFL[deg] SideSlipFR[deg] SideSlipRL[deg] SideSlipRR[deg] SideSlipCG[deg]     slip_fl[pct] slip_fr[pct] slip_rl[pct] slip_rr[pct]     AeroBalance[pct] Cx[none]     pbrake_f[bar] pbrake_r[bar]     Load_FL_Ch1[kN] Load_FR_Ch1[kN] Load_RL_Ch1[kN] Load_RR_Ch1[kN]     vwheel_fl[km/h] vwheel_fr[km/h] vwheel_rl[km/h] vwheel_rr[km/h]     acc_fl[g] acc_fr[g] acc_rl[g] acc_rr[g]     Fz_fl[kN] Fz_fr[kN] Fz_rl[kN] Fz_rr[kN]     roll[deg]     aps[%] me_act[Nm] md_rl[Nm] md_rr[Nm]     damper_force_FC[kN] damper_force_RC[kN]     dam_3rd_front[mm] dam_3rd_rear[mm]     CamberFL[deg] CamberFR[deg] CamberRL[deg] CamberRR[deg]     ToeFL[deg] ToeFR[deg] ToeRL[deg] ToeRR[deg]     CLA[m2]     Fx_FL[kN] Fx_FR[kN] Fx_RL[kN] Fx_RR[kN]     Fy_FL[kN] Fy_FR[kN] Fy_RL[kN] Fy_RR[kN]     fl_LCA_front[N] fl_LCA_rear[N] fl_UCA_Front[N] fl_UCA_Rear[N] fl_TROD_Out[N] fl_PROD[N]     fr_LCA_front[N] fr_LCA_rear[N] fr_UCA_Front[N] fr_UCA_Rear[N] fr_TROD_Out[N] fr_PROD[N]     rl_LCA_front[N] rl_LCA_rear[N] rl_UCA_Front[N] rl_UCA_Rear[N] rl_TROD_Out[N] rl_PROD[N]     rr_LCA_front[N] rr_LCA_rear[N] rr_UCA_Front[N] rr_UCA_Rear[N] rr_TROD_Out[N] rr_PROD[N]
157.543 10544.798 257.023 7319.694 5.000 0.311 0.122 -0.000 0.851 -1.032 -12.423 -11.375 -24.713 -23.700 16.971 18.282 15.358 16.625 49.657 59.836 0.472 -0.204 -0.058 0.276 0.089 -0.027 -0.026 1.108 1.067 41.366 1.102 0.014 0.014 3.067 3.459 8.556 9.098 256.892 257.008 259.819 259.815 0.002 0.001 -0.000 -0.001 4654.052 4931.788 6649.333 6930.848 0.068 100.001 710.773 1252.668 1263.125 0.349 0.000 2.060 -10.663 -2.981 -2.888 -2.880 -2.779 -0.409 0.267 0.168 -0.167 3.879 -0.057 -0.058 3.494 3.522 -0.991 0.343 0.634 -1.378 -4976.084 -5306.960 607.057 808.759 1499.443 3066.998 -4475.995 -4854.846 427.607 670.885 1301.864 3459.027 -7888.601 -15951.349 3553.169 8132.292 -938.551 8556.147 -7852.232 -15287.108 3785.240 7507.742 -871.884 9098.495
157.657 10552.979 258.267 7354.165 5.000 0.306 0.136 -0.000 0.929 -1.169 -12.397 -11.230 -24.619 -23.491 17.004 18.463 15.476 16.887 49.498 59.591 0.486 -0.191 -0.046 0.288 0.098 -0.027 -0.026 1.101 1.055 41.395 1.102 0.014 0.014 3.085 3.524 8.591 9.197 258.129 258.260 261.052 261.048 -0.000 -0.000 0.001 0.001 4665.510 4976.032 6661.000 6975.263 0.075 100.001 708.139 1247.946 1258.583 0.375 0.000 2.188 -10.520 -2.989 -2.885 -2.891 -2.779 -0.415 0.261 0.167 -0.166 3.878 -0.056 -0.058 3.481 3.510 -1.023 0.308 0.599 -1.431 -5022.919 -5354.268 615.480 817.703 1518.764 3084.897 -4474.848 -4859.429 418.247 665.975 1301.230 3523.551 -7933.922 -16049.973 3529.189 8207.014 -932.390 8591.006 -7894.329 -15305.459 3786.102 7507.809 -855.501 9196.617
157.714 10557.070 258.880 7371.163 5.000 0.304 0.141 -0.000 0.915 -1.199 -12.384 -11.160 -24.569 -23.387 17.019 18.551 15.539 17.016 49.422 59.468 0.489 -0.187 -0.040 0.294 0.104 -0.027 -0.025 1.098 1.050 41.409 1.101 0.014 0.014 3.096 3.552 8.613 9.242 258.740 258.875 261.662 261.658 -0.001 -0.000 0.001 0.001 4672.599 4995.531 6668.818 6995.816 0.079 99.997 707.354 1246.141 1257.627 0.388 0.000 2.249 -10.448 -2.993 -2.883 -2.896 -2.779 -0.414 0.262 0.167 -0.166 3.878 -0.056 -0.058 3.476 3.507 -1.032 0.298 0.582 -1.456 -5039.572 -5371.895 617.644 820.889 1525.838 3095.824 -4480.533 -4867.233 415.643 664.914 1303.369 3551.989 -7958.149 -16102.456 3518.988 8245.451 -929.937 8613.021 -7911.948 -15313.940 3789.606 7506.532 -849.465 9242.040
157.770 10561.129 259.483 7387.807 5.000 0.302 0.150 -0.000 1.027 -1.270 -12.374 -11.091 -24.521 -23.281 17.033 18.636 15.599 17.149 49.349 59.344 0.501 -0.175 -0.034 0.299 0.108 -0.027 -0.025 1.096 1.046 41.421 1.101 0.014 0.014 3.102 3.584 8.628 9.294 259.339 259.482 262.263 262.258 0.002 0.001 -0.000 -0.001 4676.393 5017.574 6673.684 7019.171 0.083 100.001 706.736 1244.841 1256.737 0.400 0.000 2.309 -10.376 -2.996 -2.882 -2.902 -2.778 -0.423 0.253 0.167 -0.166 3.877 -0.056 -0.058 3.472 3.504 -1.061 0.267 0.566 -1.481 -5075.879 -5407.287 625.632 827.988 1540.213 3102.075 -4464.102 -4854.057 407.201 659.345 1296.714 3583.909 -7976.938 -16147.074 3510.281 8278.458 -928.315 8627.852 -7933.854 -15329.924 3793.271 7509.717 -843.385 9294.248
157.883 10569.247 260.674 7419.626 5.000 0.298 0.166 -0.000 1.101 -1.410 -12.369 -10.939 -24.441 -23.059 17.038 18.826 15.699 17.426 49.203 59.101 0.517 -0.160 -0.019 0.314 0.120 -0.026 -0.025 1.091 1.035 41.445 1.100 0.014 0.014 3.113 3.650 8.656 9.397 260.523 260.681 263.447 263.442 -0.001 -0.001 0.001 0.001 4683.186 5062.848 6682.015 7066.005 0.092 100.001 705.043 1241.212 1254.082 0.424 0.000 2.425 -10.235 -3.005 -2.877 -2.914 -2.777 -0.430 0.247 0.167 -0.166 3.877 -0.056 -0.058 3.462 3.497 -1.097 0.226 0.523 -1.542 -5123.853 -5455.108 635.378 837.795 1559.871 3113.265 -4456.852 -4852.413 396.520 652.922 1293.151 3649.695 -8020.452 -16252.902 3487.254 8358.691 -924.813 8656.075 -7971.774 -15339.526 3801.808 7499.753 -828.783 9396.757
157.939 10573.307 261.261 7433.600 5.000 0.296 0.172 -0.000 1.079 -1.435 -12.362 -10.867 -24.397 -22.956 17.047 18.916 15.753 17.555 49.128 58.984 0.520 -0.157 -0.012 0.320 0.126 -0.026 -0.025 1.086 1.030 41.459 1.100 0.014 0.014 3.124 3.679 8.675 9.441 261.108 261.270 264.028 264.022 -0.002 -0.001 0.001 0.002 4689.942 5082.871 6688.464 7086.063 0.096 99.997 703.721 1238.013 1251.941 0.436 0.000 2.485 -10.166 -3.009 -2.875 -2.919 -2.776 -0.428 0.249 0.167 -0.166 3.876 -0.055 -0.057 3.453 3.491 -1.106 0.215 0.505 -1.569 -5140.288 -5472.640 637.546 841.004 1566.931 3123.760 -4462.386 -4860.097 393.886 651.695 1295.129 3678.854 -8045.268 -16303.893 3473.196 8398.051 -920.780 8674.946 -7989.032 -15342.604 3802.968 7495.598 -820.904 9440.599
157.994 10577.321 261.835 7444.042 5.000 0.293 0.181 -0.000 1.178 -1.500 -12.354 -10.795 -24.359 -22.855 17.058 19.006 15.802 17.682 49.052 58.871 0.532 -0.145 -0.006 0.326 0.131 -0.026 -0.025 1.082 1.024 41.474 1.100 0.014 0.014 3.131 3.712 8.686 9.489 261.679 261.847 264.594 264.588 0.001 0.001 0.000 -0.000 4694.273 5105.774 6691.703 7108.151 0.100 100.001 702.135 1234.121 1248.550 0.449 0.000 2.545 -10.101 -3.013 -2.873 -2.925 -2.776 -0.436 0.241 0.167 -0.166 3.876 -0.055 -0.057 3.443 3.482 -1.134 0.184 0.488 -1.595 -5175.873 -5507.593 645.212 847.896 1581.169 3130.818 -4447.069 -4848.079 385.719 646.160 1288.781 3712.022 -8065.545 -16344.583 3457.625 8431.574 -915.861 8685.851 -8011.455 -15351.150 3800.737 7496.056 -811.111 9489.366
158.104 10585.353 262.959 7434.810 5.000 0.285 0.193 -0.000 1.188 -1.575 -12.333 -10.648 -24.288 -22.665 17.084 19.190 15.890 17.919 48.891 58.664 0.542 -0.136 0.005 0.337 0.142 -0.026 -0.024 1.069 1.008 41.511 1.099 0.014 0.014 3.153 3.776 8.713 9.572 262.799 262.976 265.692 265.686 -0.001 -0.001 0.002 0.002 4708.646 5149.371 6700.435 7146.218 0.108 100.000 699.040 1221.672 1237.233 0.474 0.000 2.670 -9.979 -3.021 -2.870 -2.935 -2.774 -0.437 0.240 0.167 -0.165 3.876 -0.054 -0.056 3.409 3.451 -1.157 0.156 0.454 -1.646 -5215.763 -5549.456 651.130 855.224 1598.307 3153.029 -4453.402 -4859.753 378.688 642.494 1290.889 3775.573 -8114.992 -16426.561 3414.786 8503.467 -899.522 8712.653 -8053.645 -15351.869 3784.417 7491.557 -785.386 9572.129
158.159 10589.368 263.506 7393.546 5.000 0.280 0.196 -0.000 1.139 -1.561 -12.309 -10.583 -24.247 -22.588 17.114 19.272 15.941 18.015 48.805 58.570 0.542 -0.136 0.009 0.341 0.145 -0.025 -0.024 1.059 0.999 41.533 1.099 0.014 0.014 3.172 3.803 8.732 9.602 263.347 263.523 266.220 266.213 -0.002 -0.001 0.002 0.002 4721.290 5167.754 6707.903 7159.795 0.110 99.996 699.321 1212.644 1229.063 0.488 0.000 2.737 -9.923 -3.024 -2.869 -2.938 -2.775 -0.433 0.244 0.167 -0.165 3.876 -0.054 -0.056 3.384 3.429 -1.159 0.154 0.445 -1.662 -5228.538 -5564.677 651.000 856.944 1604.355 3172.063 -4467.052 -4875.495 378.215 643.054 1296.475 3802.517 -8143.164 -16458.279 3388.368 8534.386 -886.676 8731.910 -8075.109 -15353.268 3767.355 7494.921 -770.095 9601.831
158.213 10593.327 264.035 7308.354 5.000 0.274 0.204 -0.000 1.325 -1.628 -12.278 -10.521 -24.211 -22.516 17.152 19.349 15.986 18.105 48.716 58.486 0.557 -0.121 0.011 0.343 0.146 -0.025 -0.023 1.050 0.988 41.558 1.099 0.014 0.014 3.186 3.836 8.738 9.640 263.873 264.056 266.727 266.721 0.004 0.003 -0.001 -0.003 4730.167 5190.912 6710.176 7176.527 0.113 100.001 703.081 1203.307 1218.965 0.502 0.000 2.806 -9.873 -3.026 -2.870 -2.942 -2.775 -0.449 0.229 0.167 -0.165 3.877 -0.053 -0.056 3.358 3.401 -1.195 0.114 0.440 -1.675 -5277.255 -5612.466 661.008 865.395 1623.861 3185.733 -4441.694 -4854.287 367.575 635.709 1286.389 3836.124 -8161.801 -16469.928 3361.974 8552.455 -873.220 8737.966 -8106.144 -15367.453 3744.146 7508.833 -751.937 9639.593
158.321 10601.246 265.054 7013.852 6.000 0.264 0.231 -0.001 1.605 -1.962 -12.282 -10.332 -24.209 -22.319 17.148 19.585 15.988 18.351 48.539 58.326 0.587 -0.091 0.032 0.363 0.160 -0.024 -0.023 1.039 0.964 41.609 1.098 0.014 0.014 3.186 3.926 8.719 9.744 264.875 265.094 267.710 267.705 0.002 0.001 -0.000 -0.001 4729.131 5253.123 6697.650 7226.486 0.126 100.000 724.917 1188.282 1200.465 0.531 0.000 2.945 -9.780 -3.037 -2.863 -2.956 -2.768 -0.472 0.206 0.167 -0.165 3.878 -0.051 -0.055 3.316 3.348 -1.266 0.029 0.375 -1.759 -5357.761 -5689.518 680.841 881.618 1656.325 3185.501 -4400.384 -4822.197 346.317 620.726 1268.334 3926.215 -8201.230 -16552.281 3303.318 8636.018 -856.846 8718.715 -8156.610 -15329.495 3718.049 7477.447 -710.466 9744.428
158.375 10605.206 265.550 6870.333 6.000 0.261 0.246 -0.001 1.670 -2.120 -12.306 -10.222 -24.220 -22.203 17.118 19.722 15.975 18.497 48.460 58.240 0.600 -0.078 0.046 0.378 0.172 -0.024 -0.022 1.037 0.956 41.629 1.098 0.014 0.014 3.179 3.971 8.708 9.803 265.363 265.599 268.197 268.193 0.000 0.001 0.001 0.001 4724.196 5284.169 6689.989 7255.053 0.135 99.996 738.951 1184.662 1196.389 0.544 0.000 3.009 -9.731 -3.044 -2.858 -2.964 -2.763 -0.477 0.201 0.167 -0.165 3.879 -0.051 -0.055 3.305 3.336 -1.297 -0.009 0.329 -1.817 -5389.508 -5719.701 689.603 889.109 1669.024 3179.009 -4383.569 -4809.197 336.927 613.648 1260.361 3970.912 -8222.407 -16618.494 3279.925 8693.151 -855.266 8708.417 -8171.618 -15294.751 3722.404 7442.824 -695.291 9803.101
158.427 10609.099 266.031 6774.215 6.000 0.259 0.264 -0.001 1.789 -2.265 -12.341 -10.114 -24.231 -22.074 17.074 19.858 15.961 18.657 48.395 58.144 0.620 -0.059 0.062 0.393 0.185 -0.024 -0.022 1.037 0.951 41.642 1.098 0.014 0.014 3.166 4.015 8.696 9.870 265.836 266.088 268.678 268.673 0.002 0.002 0.000 -0.000 4714.914 5314.913 6681.368 7287.133 0.145 100.001 750.065 1183.198 1195.803 0.555 0.000 3.064 -9.676 -3.052 -2.853 -2.973 -2.758 -0.487 0.191 0.167 -0.165 3.878 -0.051 -0.055 3.301 3.335 -1.340 -0.063 0.281 -1.877 -5432.095 -5759.323 702.242 899.208 1685.467 3166.280 -4349.455 -4778.837 323.787 603.034 1245.060 4014.838 -8240.432 -16687.988 3261.918 8750.551 -857.068 8696.282 -8185.385 -15265.956 3737.039 7407.366 -684.891 9869.938
158.533 10616.883 266.986 6700.117 6.000 0.257 0.296 -0.001 1.892 -2.487 -12.429 -9.898 -24.251 -21.805 16.963 20.128 15.936 18.994 48.278 57.941 0.650 -0.030 0.092 0.423 0.211 -0.024 -0.022 1.038 0.944 41.661 1.097 0.014 0.014 3.142 4.098 8.678 9.999 266.777 267.055 269.635 269.628 -0.001 -0.001 0.002 0.003 4697.259 5373.087 6666.862 7349.121 0.164 100.000 761.028 1181.455 1197.711 0.575 0.000 3.160 -9.559 -3.068 -2.840 -2.991 -2.749 -0.496 0.183 0.167 -0.164 3.878 -0.051 -0.054 3.296 3.340 -1.407 -0.149 0.186 -1.997 -5494.209 -5817.414 721.512 915.147 1709.562 3142.172 -4303.516 -4739.024 303.716 586.522 1222.888 4098.019 -8277.820 -16830.967 3229.810 8865.988 -862.031 8678.271 -8206.209 -15208.283 3773.979 7333.626 -668.979 9998.828
158.585 10620.776 267.459 6694.818 6.000 0.256 0.308 -0.001 1.876 -2.530 -12.464 -9.802 -24.248 -21.682 16.920 20.247 15.939 19.147 48.221 57.840 0.658 -0.021 0.104 0.435 0.222 -0.024 -0.022 1.038 0.942 41.670 1.097 0.014 0.014 3.138 4.132 8.679 10.052 267.247 267.531 270.108 270.101 -0.003 -0.001 0.003 0.004 4693.915 5396.826 6664.540 7374.410 0.171 99.996 762.788 1179.946 1198.774 0.584 0.000 3.205 -9.501 -3.075 -2.835 -2.999 -2.745 -0.495 0.184 0.167 -0.164 3.877 -0.051 -0.054 3.292 3.343 -1.427 -0.175 0.149 -2.045 -5514.613 -5837.492 727.151 920.558 1717.705 3138.119 -4294.131 -4731.800 297.750 581.561 1217.593 4132.000 -8298.481 -16895.068 3215.124 8916.975 -862.585 8679.251 -8214.689 -15187.009 3789.567 7304.720 -662.913 10051.661
158.636 10624.594 267.919 6697.960 6.000 0.255 0.325 -0.001 2.102 -2.657 -12.491 -9.715 -24.247 -21.565 16.886 20.356 15.942 19.294 48.165 57.744 0.682 0.003 0.114 0.445 0.230 -0.024 -0.022 1.038 0.938 41.679 1.097 0.014 0.014 3.129 4.171 8.669 10.113 267.701 267.998 270.569 270.561 0.004 0.003 -0.000 -0.001 4686.913 5424.266 6657.998 7402.743 0.179 100.001 763.443 1179.150 1198.737 0.593 0.000 3.250 -9.446 -3.080 -2.832 -3.007 -2.741 -0.514 0.166 0.167 -0.164 3.877 -0.050 -0.055 3.290 3.343 -1.482 -0.243 0.117 -2.088 -5571.454 -5890.007 743.236 932.600 1739.204 3128.781 -4242.166 -4683.416 281.457 568.025 1194.626 4171.045 -8308.820 -16939.580 3203.606 8953.869 -863.759 8669.163 -8232.225 -15181.288 3800.847 7287.556 -655.298 10112.570
158.739 10632.229 268.830 6714.324 6.000 0.252 0.361 -0.001 2.330 -2.996 -12.585 -9.500 -24.282 -21.298 16.769 20.625 15.898 19.627 48.050 57.557 0.718 0.038 0.145 0.475 0.255 -0.024 -0.022 1.041 0.928 41.699 1.096 0.014 0.014 3.098 4.261 8.637 10.245 268.592 268.927 271.480 271.472 0.000 0.000 0.002 0.002 4664.980 5487.298 6637.399 7466.655 0.199 100.000 763.116 1177.394 1197.432 0.612 0.000 3.341 -9.338 -3.096 -2.819 -3.026 -2.730 -0.533 0.147 0.167 -0.164 3.876 -0.050 -0.055 3.285 3.339 -1.561 -0.348 0.021 -2.212 -5644.220 -5956.172 766.723 950.338 1766.782 3098.233 -4178.278 -4626.458 257.365 547.755 1163.677 4261.239 -8337.965 -17070.264 3171.253 9062.043 -869.099 8636.552 -8257.371 -15116.492 3831.200 7210.148 -633.321 10245.021
158.790 10636.048 269.280 6724.380 6.000 0.251 0.376 -0.001 2.331 -3.105 -12.632 -9.391 -24.298 -21.169 16.709 20.761 15.878 19.789 47.992 57.465 0.730 0.050 0.161 0.491 0.268 -0.024 -0.021 1.041 0.924 41.710 1.096 0.014 0.014 3.088 4.302 8.627 10.304 269.035 269.383 271.929 271.921 -0.002 -0.001 0.003 0.004 4657.367 5515.519 6629.922 7495.527 0.209 99.996 762.588 1175.699 1197.182 0.622 0.000 3.386 -9.285 -3.104 -2.813 -3.035 -2.725 -0.533 0.147 0.167 -0.164 3.876 -0.050 -0.054 3.281 3.338 -1.585 -0.383 -0.028 -2.276 -5666.634 -5977.365 774.045 956.629 1775.404 3087.920 -4162.852 -4613.689 249.755 541.027 1155.120 4301.590 -8358.303 -17143.414 3152.737 9121.947 -870.609 8627.095 -8264.292 -15075.096 3847.710 7165.375 -623.026 10303.756
158.840 10639.779 269.716 6734.600 6.000 0.249 0.397 -0.002 2.553 -3.256 -12.676 -9.288 -24.316 -21.041 16.655 20.890 15.855 19.949 47.936 57.376 0.757 0.076 0.175 0.505 0.280 -0.024 -0.021 1.042 0.920 41.720 1.096 0.014 0.014 3.072 4.346 8.607 10.371 269.463 269.827 272.365 272.356 0.005 0.003 0.000 -0.001 4645.836 5547.080 6618.298 7527.838 0.219 100.001 762.057 1174.222 1196.863 0.631 0.000 3.431 -9.234 -3.111 -2.808 -3.044 -2.720 -0.551 0.129 0.167 -0.163 3.876 -0.049 -0.055 3.277 3.337 -1.645 -0.461 -0.073 -2.335 -5724.919 -6030.495 791.849 969.599 1797.001 3071.982 -4103.283 -4557.615 231.864 525.210 1127.889 4346.364 -8369.618 -17198.580 3135.883 9169.471 -872.105 8606.879 -8278.679 -15048.643 3863.029 7130.549 -612.579 10371.346
158.939 10647.242 270.578 6755.378 6.000 0.246 0.440 -0.002 2.797 -3.623 -12.802 -9.044 -24.388 -20.754 16.497 21.195 15.766 20.307 47.825 57.201 0.799 0.118 0.212 0.541 0.310 -0.024 -0.021 1.045 0.910 41.741 1.095 0.014 0.014 3.029 4.446 8.556 10.515 270.303 270.708 273.227 273.217 0.001 0.001 0.003 0.003 4615.654 5617.142 6588.772 7598.294 0.243 100.000 760.788 1171.334 1195.743 0.649 0.000 3.519 -9.134 -3.129 -2.792 -3.066 -2.706 -0.572 0.109 0.167 -0.163 3.875 -0.049 -0.055 3.269 3.334 -1.734 -0.588 -0.188 -2.485 -5802.715 -6100.003 819.221 989.399 1825.547 3029.450 -4021.390 -4482.530 204.171 500.173 1087.171 4446.203 -8397.483 -17338.496 3095.794 9289.034 -877.479 8555.565 -8299.053 -14954.060 3901.121 7026.315 -586.850 10515.160
158.989 10650.975 271.003 6765.739 6.000 0.245 0.458 -0.002 2.814 -3.745 -12.865 -8.922 -24.421 -20.615 16.419 21.347 15.723 20.481 47.769 57.116 0.814 0.132 0.230 0.559 0.326 -0.024 -0.021 1.046 0.906 41.752 1.095 0.014 0.014 3.014 4.491 8.538 10.578 270.720 271.140 273.652 273.642 -0.002 -0.000 0.004 0.005 4604.402 5648.306 6577.380 7629.813 0.254 99.995 760.049 1169.240 1195.557 0.658 0.000 3.563 -9.085 -3.139 -2.785 -3.076 -2.699 -0.573 0.108 0.167 -0.163 3.875 -0.049 -0.054 3.263 3.333 -1.764 -0.634 -0.244 -2.558 -5828.119 -6123.406 828.469 996.725 1834.881 3013.872 -3997.096 -4460.937 194.799 491.234 1073.902 4490.565 -8416.583 -17413.971 3074.454 9352.520 -879.062 8537.746 -8303.997 -14900.393 3920.792 6970.427 -574.954 10578.469
159.037 10654.617 271.415 6775.820 6.000 0.243 0.483 -0.002 3.069 -3.923 -12.923 -8.807 -24.457 -20.479 16.346 21.491 15.679 20.652 47.715 57.033 0.845 0.163 0.247 0.575 0.339 -0.024 -0.021 1.048 0.902 41.762 1.095 0.014 0.014 2.992 4.540 8.508 10.651 271.122 271.560 274.065 274.054 0.006 0.004 0.001 -0.001 4588.859 5683.089 6561.503 7665.154 0.266 100.001 759.448 1167.669 1195.258 0.667 0.000 3.605 -9.038 -3.147 -2.778 -3.086 -2.692 -0.595 0.087 0.167 -0.163 3.875 -0.048 -0.055 3.259 3.332 -1.830 -0.726 -0.296 -2.628 -5890.977 -6179.684 848.891 1010.904 1857.538 2992.065 -3924.599 -4391.647 174.526 472.295 1039.859 4539.713 -8425.920 -17471.285 3055.463 9403.225 -881.020 8508.403 -8316.712 -14861.406 3939.309 6924.133 -562.653 10651.427
159.133 10661.880 272.224 6795.704 6.000 0.240 0.531 -0.003 3.349 -4.340 -13.079 -8.539 -24.563 -20.174 16.151 21.826 15.546 21.032 47.609 56.872 0.893 0.211 0.289 0.617 0.373 -0.024 -0.021 1.053 0.892 41.783 1.095 0.014 0.014 2.938 4.648 8.439 10.805 271.906 272.392 274.877 274.865 0.001 0.001 0.004 0.004 4550.665 5759.388 6523.701 7741.527 0.293 100.000 758.116 1164.554 1194.281 0.684 0.000 3.689 -8.947 -3.168 -2.761 -3.110 -2.675 -0.618 0.064 0.167 -0.162 3.874 -0.048 -0.055 3.250 3.329 -1.927 -0.875 -0.425 -2.801 -5971.797 -6250.098 879.901 1032.117 1885.921 2937.758 -3823.268 -4296.658 143.592 442.403 988.112 4648.056 -8450.354 -17616.504 3011.007 9529.705 -887.167 8439.381 -8332.370 -14738.021 3984.714 6793.843 -533.002 10805.336
159.181 10665.493 272.622 6805.463 6.000 0.239 0.552 -0.003 3.377 -4.484 -13.157 -8.406 -24.614 -20.028 16.054 21.992 15.482 21.216 47.556 56.793 0.910 0.228 0.309 0.637 0.392 -0.024 -0.020 1.055 0.888 41.793 1.094 0.014 0.014 2.917 4.696 8.413 10.873 272.295 272.797 275.275 275.263 -0.001 0.001 0.005 0.007 4535.605 5793.338 6508.375 7775.744 0.306 99.995 757.406 1162.380 1194.284 0.692 0.000 3.731 -8.902 -3.178 -2.752 -3.121 -2.668 -0.620 0.062 0.167 -0.162 3.874 -0.048 -0.055 3.244 3.329 -1.961 -0.931 -0.488 -2.886 -5998.276 -6273.758 890.753 1040.115 1895.072 2916.612 -3790.381 -4266.361 132.818 431.320 969.935 4696.200 -8467.981 -17695.080 2987.582 9596.886 -889.183 8413.197 -8334.424 -14669.396 4008.345 6724.521 -519.369 10873.083
159.228 10669.036 273.007 6814.947 6.000 0.237 0.578 -0.003 3.620 -4.654 -13.227 -8.283 -24.662 -19.887 15.967 22.146 15.422 21.392 47.505 56.717 0.942 0.259 0.328 0.655 0.407 -0.024 -0.020 1.057 0.884 41.804 1.094 0.014 0.014 2.892 4.746 8.379 10.947 272.670 273.191 275.663 275.649 0.007 0.006 0.002 0.000 4518.140 5829.070 6490.294 7812.033 0.319 100.001 756.788 1160.400 1194.353 0.701 0.000 3.770 -8.860 -3.187 -2.745 -3.132 -2.660 -0.641 0.042 0.167 -0.162 3.874 -0.047 -0.055 3.239 3.330 -2.026 -1.029 -0.545 -2.964 -6058.643 -6327.118 911.520 1054.062 1916.135 2891.966 -3712.777 -4191.198 112.447 411.009 932.304 4746.489 -8477.027 -17753.900 2966.502 9649.829 -890.808 8379.112 -8343.593 -14618.307 4030.215 6667.579 -506.208 10946.954
159.321 10676.150 273.772 6833.813 6.000 0.235 0.634 -0.004 4.010 -5.138 -13.409 -7.994 -24.801 -19.565 15.738 22.508 15.248 21.793 47.404 56.567 1.002 0.318 0.374 0.701 0.444 -0.024 -0.020 1.064 0.875 41.824 1.094 0.014 0.014 2.825 4.865 8.290 11.114 273.406 273.980 276.432 276.418 0.004 0.004 0.004 0.004 4471.103 5912.702 6443.417 7895.390 0.350 100.000 755.435 1157.179 1193.414 0.717 0.000 3.850 -8.776 -3.210 -2.725 -3.159 -2.640 -0.673 0.010 0.167 -0.161 3.874 -0.046 -0.055 3.230 3.327 -2.140 -1.216 -0.685 -3.159 -6150.979 -6405.324 949.031 1077.999 1946.980 2824.562 -3576.654 -4060.482 75.516 373.032 862.050 4864.766 -8494.555 -17895.824 2918.997 9776.619 -897.308 8289.787 -8357.025 -14470.589 4082.420 6513.969 -472.123 11113.671
159.368 10679.720 274.150 6843.145 6.000 0.233 0.662 -0.004 4.129 -5.363 -13.510 -7.841 -24.879 -19.400 15.613 22.699 15.152 22.000 47.353 56.494 1.028 0.343 0.399 0.726 0.465 -0.024 -0.020 1.068 0.870 41.835 1.094 0.014 0.014 2.792 4.923 8.246 11.195 273.770 274.370 276.813 276.798 0.003 0.003 0.005 0.006 4448.063 5954.065 6420.112 7936.718 0.366 99.995 754.721 1155.247 1193.155 0.725 0.000 3.890 -8.735 -3.223 -2.714 -3.172 -2.630 -0.683 0.000 0.167 -0.161 3.874 -0.046 -0.055 3.225 3.326 -2.188 -1.300 -0.761 -3.265 -6187.414 -6436.001 965.233 1088.474 1958.652 2791.647 -3518.116 -4004.419 59.652 355.840 830.506 4923.183 -8507.276 -17976.998 2892.960 9847.938 -900.472 8246.334 -8358.154 -14380.644 4111.517 6424.453 -454.257 11194.778
159.415 10683.241 274.519 6852.311 6.000 0.231 0.700 -0.005 4.512 -5.704 -13.621 -7.678 -24.972 -19.221 15.474 22.903 15.035 22.224 47.303 56.423 1.074 0.389 0.427 0.753 0.487 -0.024 -0.020 1.074 0.865 41.845 1.093 0.014 0.014 2.745 4.994 8.182 11.295 274.118 274.756 277.187 277.172 0.009 0.007 0.004 0.001 4415.862 6004.197 6387.489 7986.875 0.384 100.001 754.099 1154.034 1192.429 0.733 0.000 3.928 -8.696 -3.235 -2.703 -3.188 -2.617 -0.715 -0.031 0.167 -0.161 3.873 -0.045 -0.056 3.221 3.323 -2.274 -1.445 -0.844 -3.384 -6260.395 -6496.775 994.259 1105.870 1982.357 2745.189 -3401.151 -3889.460 31.236 325.658 771.841 4993.608 -8509.309 -18048.393 2866.778 9913.985 -905.023 8181.541 -8365.600 -14287.348 4143.265 6328.354 -432.688 11294.628
